,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
4083,276,4.0,1,8,2,11,21,3,3.0,2,10,261.0,1,0.7,0,26.0,4.0,15.0,20.0,20.0,20.0,15.0,10.0,1,8.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,1.0,26.0,Molecular Biology,10.0,2.0,7.0,3.0,"New Hope, PA","18,977",2.0,4.0,1.0,Academia,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,1,8.0,10.0,9.0,7.0,5.0,8.0,9.0,10.0,0.0,9.0,6.0,1.0,2.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0
4090,276,4.0,1,8,2,11,21,9,9.0,8,17,268.0,1,0.06,0,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,1,7.0,8.0,9.0,7.0,8.0,8.0,8.0,6.0,2.0,26.0,Molecular Biology,10.0,2.0,7.0,3.0,"New Hope, PA","18,977",2.0,4.0,1.0,Academia,2.0,6.0,2.0,8.0,9.0,8.0,9.0,2.0,3.0,6.0,9.0,1.0,4.0,7.0,6.0,7.0,2.0,2.0,4.0,24.0,16.0,28.0,14.0,8.0,10.0,25.0,13.0,11.0,23.0,13.0,15.0,25.0,18.0,11.0,18.0,23.0,5.0,7.0,6.0,7.0,10.0,8.0,1,8.0,9.0,8.0,8.0,7.0,7.0,8.0,6.0,0.0,9.0,6.0,1.0,2.0,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,10.0,25.0,15.0,15.0,25.0,15.0,15.0,20.0,20.0,5.0,7.0,6.0,8.0,7.0,8.0
4141,279,7.0,1,14,2,11,21,7,7.0,2,5,256.0,1,-0.06,0,24.0,4.0,15.0,25.0,20.0,20.0,10.0,10.0,1,8.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,2.0,25.0,Biology,10.0,2.0,7.0,1.0,"Las Vegas, Nevada","89,014",3.0,4.0,2.0,Scientist,2.0,7.0,1.0,6.0,5.0,2.0,3.0,5.0,3.0,4.0,9.0,6.0,3.0,8.0,1.0,2.0,1.0,1.0,7.0,27.0,15.0,28.0,10.0,10.0,10.0,40.0,3.0,25.0,8.0,13.0,11.0,40.0,3.0,25.0,8.0,13.0,11.0,8.0,9.0,6.0,10.0,7.0,1,7.0,7.0,8.0,6.0,9.0,6.0,6.0,6.0,0.0,4.0,6.0,3.0,2.0,25.0,19.0,30.0,15.0,6.0,10.0,35.0,20.0,15.0,15.0,5.0,10.0,25.0,20.0,15.0,10.0,20.0,10.0,8.0,7.0,9.0,5.0,5.0
4149,279,7.0,1,14,2,11,21,15,15.0,10,13,264.0,1,0.73,1,26.0,2.0,15.0,15.0,25.0,20.0,5.0,20.0,1,7.0,8.0,8.0,8.0,7.0,5.0,7.0,6.0,2.0,25.0,Biology,10.0,2.0,7.0,1.0,"Las Vegas, Nevada","89,014",3.0,4.0,2.0,Scientist,2.0,7.0,1.0,6.0,5.0,2.0,3.0,5.0,3.0,4.0,9.0,6.0,3.0,8.0,1.0,2.0,1.0,1.0,7.0,27.0,15.0,28.0,10.0,10.0,10.0,40.0,3.0,25.0,8.0,13.0,11.0,40.0,3.0,25.0,8.0,13.0,11.0,8.0,9.0,6.0,10.0,7.0,1,7.0,7.0,9.0,7.0,6.0,6.0,6.0,5.0,0.0,4.0,6.0,3.0,2.0,25.0,19.0,30.0,15.0,6.0,10.0,35.0,20.0,15.0,15.0,5.0,10.0,25.0,20.0,15.0,10.0,20.0,10.0,8.0,7.0,9.0,5.0,5.0
4153,279,7.0,1,14,2,11,21,9,9.0,4,17,268.0,1,0.63,0,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,1,9.5,9.0,9.0,8.0,9.0,8.0,9.0,7.0,2.0,25.0,Biology,10.0,2.0,7.0,1.0,"Las Vegas, Nevada","89,014",3.0,4.0,2.0,Scientist,2.0,7.0,1.0,6.0,5.0,2.0,3.0,5.0,3.0,4.0,9.0,6.0,3.0,8.0,1.0,2.0,1.0,1.0,7.0,27.0,15.0,28.0,10.0,10.0,10.0,40.0,3.0,25.0,8.0,13.0,11.0,40.0,3.0,25.0,8.0,13.0,11.0,8.0,9.0,6.0,10.0,7.0,1,8.0,9.0,9.0,8.0,9.0,6.0,8.0,8.0,0.0,4.0,6.0,3.0,2.0,25.0,19.0,30.0,15.0,6.0,10.0,35.0,20.0,15.0,15.0,5.0,10.0,25.0,20.0,15.0,10.0,20.0,10.0,8.0,7.0,9.0,5.0,5.0
4154,279,7.0,1,14,2,11,21,20,20.0,15,18,269.0,1,0.22,1,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,8.0,7.0,8.0,6.0,10.0,5.0,8.0,7.0,2.0,25.0,Biology,10.0,2.0,7.0,1.0,"Las Vegas, Nevada","89,014",3.0,4.0,2.0,Scientist,2.0,7.0,1.0,6.0,5.0,2.0,3.0,5.0,3.0,4.0,9.0,6.0,3.0,8.0,1.0,2.0,1.0,1.0,7.0,27.0,15.0,28.0,10.0,10.0,10.0,40.0,3.0,25.0,8.0,13.0,11.0,40.0,3.0,25.0,8.0,13.0,11.0,8.0,9.0,6.0,10.0,7.0,1,8.0,7.0,9.0,8.0,9.0,4.0,6.0,3.0,0.0,4.0,6.0,3.0,2.0,25.0,19.0,30.0,15.0,6.0,10.0,35.0,20.0,15.0,15.0,5.0,10.0,25.0,20.0,15.0,10.0,20.0,10.0,8.0,7.0,9.0,5.0,5.0
4192,281,9.0,1,18,2,11,21,19,19.0,2,14,265.0,1,0.41,1,32.0,2.0,15.0,5.0,45.0,10.0,15.0,10.0,1,9.0,6.0,9.0,3.0,6.0,2.0,8.0,3.0,2.0,27.0,Sociology,3.0,2.0,2.0,5.0,Russia,"430,000",6.0,5.0,5.0,research,2.0,4.0,4.0,2.0,4.0,7.0,5.0,8.0,1.0,2.0,6.0,2.0,6.0,8.0,7.0,5.0,3.0,9.0,2.0,20.0,20.0,20.0,15.0,5.0,20.0,35.0,20.0,1.0,19.0,1.0,24.0,25.0,10.0,10.0,25.0,20.0,10.0,7.0,8.0,6.0,8.0,5.0,1,6.0,8.0,8.0,5.0,3.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,3.0,15.0,20.0,20.0,15.0,10.0,20.0,30.0,15.0,10.0,15.0,10.0,20.0,15.0,20.0,15.0,20.0,15.0,15.0,6.0,8.0,7.0,6.0,5.0
4227,283,11.0,1,22,2,11,21,5,5.0,7,7,258.0,1,0.58,0,25.0,6.0,7.0,35.0,20.0,20.0,5.0,13.0,1,9.0,10.0,8.0,6.0,7.0,7.0,7.0,7.0,2.0,27.0,Electrical Engg.,5.0,4.0,1.0,1.0,Boston,"1,851",1.0,4.0,2.0,Industry CTO/CEO,7.0,9.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,1.0,5.0,3.0,3.0,7.0,2.0,7.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,1,10.0,9.0,9.0,9.0,9.0,6.0,10.0,6.0,0.0,1.0,6.0,1.0,2.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,9.0,6.0,9.0,8.0,9.0
4238,283,11.0,1,22,2,11,21,20,20.0,1,18,269.0,1,0.17,0,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,7.0,10.0,7.0,6.0,9.0,3.0,7.0,9.0,2.0,27.0,Electrical Engg.,5.0,4.0,1.0,1.0,Boston,"1,851",1.0,4.0,2.0,Industry CTO/CEO,7.0,9.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,1.0,5.0,3.0,3.0,7.0,2.0,7.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,1,8.0,8.0,9.0,9.0,9.0,9.0,6.0,9.0,0.0,1.0,6.0,1.0,2.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,9.0,6.0,9.0,8.0,9.0
4264,285,13.0,1,26,2,11,21,4,4.0,1,2,253.0,1,0.01,0,33.0,4.0,25.0,30.0,10.0,10.0,5.0,20.0,1,6.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,2.0,24.0,engineering,5.0,6.0,1.0,1.0,International Student,"10,025",4.0,6.0,6.0,finance or engineering,7.0,5.0,7.0,6.0,10.0,9.0,10.0,9.0,14.0,5.0,9.0,7.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,25.0,25.0,5.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,8.0,10.0,10.0,10.0,8.0,1,5.0,5.0,5.0,4.0,4.0,4.0,4.5,8.0,0.0,5.0,7.0,1.0,2.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
4271,285,13.0,1,26,2,11,21,8,8.0,5,9,260.0,1,-0.18,0,27.0,4.0,19.0,20.0,19.0,14.0,13.0,15.0,1,6.0,9.0,7.0,7.0,6.0,5.0,7.0,4.0,2.0,24.0,engineering,5.0,6.0,1.0,1.0,International Student,"10,025",4.0,6.0,6.0,finance or engineering,7.0,5.0,7.0,6.0,10.0,9.0,10.0,9.0,14.0,5.0,9.0,7.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,25.0,25.0,5.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,8.0,10.0,10.0,10.0,8.0,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,5.0,7.0,1.0,2.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0
4337,288,16.0,1,32,2,11,21,14,14.0,3,12,263.0,1,0.18,0,26.0,1.0,20.0,20.0,20.0,10.0,20.0,10.0,1,5.0,10.0,9.0,7.0,7.0,7.0,8.0,1.0,2.0,27.0,Sociology,3.0,2.0,3.0,5.0,"Washington, DC","21,044",1.0,6.0,3.0,professor,2.0,9.0,5.0,3.0,8.0,5.0,5.0,6.0,4.0,4.0,9.0,2.0,6.0,7.0,5.0,7.0,2.0,2.0,5.0,20.0,20.0,15.0,25.0,10.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,30.0,20.0,5.0,25.0,10.0,10.0,5.0,8.0,7.0,8.0,7.0,1,6.0,5.0,7.0,7.0,6.0,7.0,7.0,4.0,0.0,1.0,4.0,1.0,2.0,30.0,20.0,15.0,30.0,5.0,0.0,40.0,15.0,15.0,30.0,0.0,0.0,33.33,11.11,5.56,33.33,16.67,0.0,5.0,7.0,7.0,5.0,7.0
4343,288,16.0,1,32,2,11,21,20,20.0,9,18,269.0,1,0.42,1,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,7.0,9.0,8.0,7.0,8.0,6.0,8.0,6.0,2.0,27.0,Sociology,3.0,2.0,3.0,5.0,"Washington, DC","21,044",1.0,6.0,3.0,professor,2.0,9.0,5.0,3.0,8.0,5.0,5.0,6.0,4.0,4.0,9.0,2.0,6.0,7.0,5.0,7.0,2.0,2.0,5.0,20.0,20.0,15.0,25.0,10.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,30.0,20.0,5.0,25.0,10.0,10.0,5.0,8.0,7.0,8.0,7.0,1,6.0,7.0,7.0,6.0,5.0,5.0,6.0,3.0,0.0,1.0,4.0,1.0,2.0,30.0,20.0,15.0,30.0,5.0,0.0,40.0,15.0,15.0,30.0,0.0,0.0,33.33,11.11,5.56,33.33,16.67,0.0,5.0,7.0,7.0,5.0,7.0
4351,289,17.0,1,34,2,11,21,7,7.0,18,5,256.0,1,-0.13,1,24.0,4.0,15.0,25.0,20.0,20.0,10.0,10.0,1,7.0,7.0,6.0,7.0,5.0,3.0,7.0,8.0,2.0,28.0,MBA / Master of International Affairs (SIPA),8.0,4.0,1.0,2.0,California,"92,064",1.0,4.0,1.0,Venture Capital/Consulting/Government,7.0,10.0,6.0,1.0,7.0,3.0,6.0,10.0,5.0,3.0,10.0,6.0,5.0,7.0,6.0,8.0,2.0,1.0,7.0,20.0,30.0,10.0,20.0,0.0,20.0,70.0,5.0,5.0,20.0,0.0,0.0,30.0,20.0,15.0,15.0,20.0,0.0,4.0,9.0,10.0,8.0,8.0,1,6.0,8.0,8.0,8.0,7.0,7.0,7.0,6.0,0.0,2.0,8.0,3.0,3.0,20.0,30.0,15.0,20.0,5.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,40.0,20.0,20.0,5.0,10.0,5.0,3.0,8.0,9.0,9.0,9.0
4358,289,17.0,1,34,2,11,21,14,14.0,4,12,263.0,1,0.18,0,26.0,1.0,20.0,20.0,20.0,10.0,20.0,10.0,1,6.0,10.0,9.0,10.0,8.0,5.0,10.0,6.0,2.0,28.0,MBA / Master of International Affairs (SIPA),8.0,4.0,1.0,2.0,California,"92,064",1.0,4.0,1.0,Venture Capital/Consulting/Government,7.0,10.0,6.0,1.0,7.0,3.0,6.0,10.0,5.0,3.0,10.0,6.0,5.0,7.0,6.0,8.0,2.0,1.0,7.0,20.0,30.0,10.0,20.0,0.0,20.0,70.0,5.0,5.0,20.0,0.0,0.0,30.0,20.0,15.0,15.0,20.0,0.0,4.0,9.0,10.0,8.0,8.0,1,7.0,9.0,8.0,8.0,5.0,7.0,8.0,6.0,0.0,2.0,8.0,3.0,3.0,20.0,30.0,15.0,20.0,5.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,40.0,20.0,20.0,5.0,10.0,5.0,3.0,8.0,9.0,9.0,9.0
4363,289,17.0,1,34,2,11,21,9,9.0,20,17,268.0,1,0.48,0,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,1,5.0,7.0,9.0,6.0,8.0,8.0,8.0,4.0,2.0,28.0,MBA / Master of International Affairs (SIPA),8.0,4.0,1.0,2.0,California,"92,064",1.0,4.0,1.0,Venture Capital/Consulting/Government,7.0,10.0,6.0,1.0,7.0,3.0,6.0,10.0,5.0,3.0,10.0,6.0,5.0,7.0,6.0,8.0,2.0,1.0,7.0,20.0,30.0,10.0,20.0,0.0,20.0,70.0,5.0,5.0,20.0,0.0,0.0,30.0,20.0,15.0,15.0,20.0,0.0,4.0,9.0,10.0,8.0,8.0,1,10.0,9.0,8.0,6.0,5.0,8.0,8.0,3.0,0.0,2.0,8.0,3.0,3.0,20.0,30.0,15.0,20.0,5.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,40.0,20.0,20.0,5.0,10.0,5.0,3.0,8.0,9.0,9.0,9.0
4364,289,17.0,1,34,2,11,21,20,20.0,10,18,269.0,1,0.24,0,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,8.0,8.0,8.0,7.0,7.0,4.0,8.0,7.0,2.0,28.0,MBA / Master of International Affairs (SIPA),8.0,4.0,1.0,2.0,California,"92,064",1.0,4.0,1.0,Venture Capital/Consulting/Government,7.0,10.0,6.0,1.0,7.0,3.0,6.0,10.0,5.0,3.0,10.0,6.0,5.0,7.0,6.0,8.0,2.0,1.0,7.0,20.0,30.0,10.0,20.0,0.0,20.0,70.0,5.0,5.0,20.0,0.0,0.0,30.0,20.0,15.0,15.0,20.0,0.0,4.0,9.0,10.0,8.0,8.0,1,9.0,9.0,10.0,9.0,8.0,9.0,9.0,6.0,0.0,2.0,8.0,3.0,3.0,20.0,30.0,15.0,20.0,5.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,40.0,20.0,20.0,5.0,10.0,5.0,3.0,8.0,9.0,9.0,9.0
4389,291,19.0,1,38,2,11,21,18,18.0,9,1,252.0,1,-0.16,0,28.0,3.0,0.0,25.0,25.0,25.0,25.0,0.0,1,1.0,7.0,9.0,2.0,9.0,2.0,2.0,8.0,2.0,27.0,medicine and biochemistry,10.0,4.0,5.0,5.0,New Jersey,"7,936",1.0,3.0,2.0,doctor and entrepreneur,4.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0,20.0,20.0,15.0,15.0,12.0,18.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,5.0,10.0,6.0,9.0,7.0,9.0,9.0,1,6.0,10.0,8.0,9.0,8.0,7.0,7.0,6.0,0.0,5.0,6.0,3.0,1.0,25.0,15.0,15.0,15.0,15.0,15.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,9.0,9.0,7.0,9.0
4397,291,19.0,1,38,2,11,21,8,8.0,20,9,260.0,1,0.47,1,27.0,4.0,19.0,20.0,19.0,14.0,13.0,15.0,1,6.0,7.0,9.0,7.0,10.0,7.0,7.0,5.0,2.0,27.0,medicine and biochemistry,10.0,4.0,5.0,5.0,New Jersey,"7,936",1.0,3.0,2.0,doctor and entrepreneur,4.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0,20.0,20.0,15.0,15.0,12.0,18.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,5.0,10.0,6.0,9.0,7.0,9.0,9.0,1,6.0,8.0,8.0,6.0,6.0,7.0,6.0,7.0,0.0,5.0,6.0,3.0,1.0,25.0,15.0,15.0,15.0,15.0,15.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,9.0,9.0,7.0,9.0
4398,291,19.0,1,38,2,11,21,3,3.0,15,10,261.0,1,0.3,1,26.0,4.0,15.0,20.0,20.0,20.0,15.0,10.0,1,4.0,8.0,8.0,7.0,8.0,6.0,7.0,5.0,1.0,27.0,medicine and biochemistry,10.0,4.0,5.0,5.0,New Jersey,"7,936",1.0,3.0,2.0,doctor and entrepreneur,4.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0,20.0,20.0,15.0,15.0,12.0,18.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,5.0,10.0,6.0,9.0,7.0,9.0,9.0,1,6.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,1.0,5.0,6.0,3.0,1.0,25.0,15.0,15.0,15.0,15.0,15.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,9.0,9.0,7.0,9.0
4406,291,19.0,1,38,2,11,21,20,20.0,11,18,269.0,1,0.35,0,24.0,2.0,20.0,10.0,30.0,15.0,15.0,10.0,1,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,2.0,27.0,medicine and biochemistry,10.0,4.0,5.0,5.0,New Jersey,"7,936",1.0,3.0,2.0,doctor and entrepreneur,4.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,6.0,20.0,20.0,15.0,15.0,12.0,18.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,5.0,10.0,6.0,9.0,7.0,9.0,9.0,1,6.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,0.0,5.0,6.0,3.0,1.0,25.0,15.0,15.0,15.0,15.0,15.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,7.0,9.0,9.0,7.0,9.0
4421,292,20.0,1,40,2,11,21,14,14.0,15,12,263.0,1,-0.2,1,26.0,1.0,20.0,20.0,20.0,10.0,20.0,10.0,1,10.0,8.0,9.0,10.0,10.0,7.0,9.0,4.0,2.0,28.0,International Affairs,13.0,1.0,7.0,1.0,New York City,"10,009",1.0,2.0,1.0,Int'l Business,7.0,10.0,5.0,8.0,8.0,7.0,5.0,10.0,7.0,9.0,7.0,4.0,7.0,9.0,5.0,10.0,1.0,1.0,6.0,20.0,18.0,20.0,17.0,10.0,15.0,30.0,13.0,12.0,20.0,10.0,15.0,10.0,21.0,22.0,15.0,15.0,17.0,8.0,10.0,8.0,10.0,10.0,1,6.0,10.0,10.0,8.0,7.0,6.0,7.0,7.0,0.0,6.0,6.0,1.0,2.0,25.0,10.0,20.0,20.0,10.0,15.0,25.0,20.0,10.0,20.0,10.0,15.0,15.0,20.0,20.0,20.0,10.0,15.0,10.0,10.0,9.0,8.0,10.0
4426,292,20.0,1,40,2,11,21,9,9.0,10,17,268.0,1,0.43,0,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,1,9.0,8.0,9.0,8.0,8.0,7.0,9.0,6.0,2.0,28.0,International Affairs,13.0,1.0,7.0,1.0,New York City,"10,009",1.0,2.0,1.0,Int'l Business,7.0,10.0,5.0,8.0,8.0,7.0,5.0,10.0,7.0,9.0,7.0,4.0,7.0,9.0,5.0,10.0,1.0,1.0,6.0,20.0,18.0,20.0,17.0,10.0,15.0,30.0,13.0,12.0,20.0,10.0,15.0,10.0,21.0,22.0,15.0,15.0,17.0,8.0,10.0,8.0,10.0,10.0,1,8.0,10.0,7.0,7.0,7.0,6.0,7.0,5.0,0.0,6.0,6.0,1.0,2.0,25.0,10.0,20.0,20.0,10.0,15.0,25.0,20.0,10.0,20.0,10.0,15.0,15.0,20.0,20.0,20.0,10.0,15.0,10.0,10.0,9.0,8.0,10.0
4447,293,21.0,1,42,2,11,21,9,9.0,5,17,268.0,1,0.06,1,24.0,3.0,30.0,20.0,20.0,10.0,15.0,5.0,1,7.0,8.0,9.0,6.0,9.0,7.0,8.0,5.0,2.0,28.0,Business (MBA),8.0,3.0,3.0,7.0,Northern New Jersey,"7,512",2.0,5.0,2.0,Pharmaceuticals/Consulting,7.0,6.0,9.0,7.0,10.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,9.0,9.0,8.0,8.0,6.0,4.0,6.0,23.0,18.0,21.0,18.0,10.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,25.0,20.0,15.0,15.0,10.0,7.0,10.0,9.0,9.0,9.0,1,9.0,8.0,9.0,6.0,6.0,7.0,8.0,7.0,0.0,3.0,4.0,1.0,2.0,24.0,15.0,18.0,18.0,10.0,15.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,10.0,10.0,8.0,9.0
4450,293,21.0,1,42,2,11,21,16,16.0,12,20,271.0,1,0.29,0,23.0,2.0,10.0,15.0,40.0,15.0,10.0,10.0,1,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,2.0,28.0,Business (MBA),8.0,3.0,3.0,7.0,Northern New Jersey,"7,512",2.0,5.0,2.0,Pharmaceuticals/Consulting,7.0,6.0,9.0,7.0,10.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,9.0,9.0,8.0,8.0,6.0,4.0,6.0,23.0,18.0,21.0,18.0,10.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,25.0,20.0,15.0,15.0,10.0,7.0,10.0,9.0,9.0,9.0,1,8.0,7.0,6.0,8.0,5.0,7.0,7.0,7.0,0.0,3.0,4.0,1.0,2.0,24.0,15.0,18.0,18.0,10.0,15.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,10.0,10.0,8.0,9.0
4460,294,1.0,0,1,2,12,14,6,6.0,3,9,316.0,1,0.2,0,25.0,2.0,25.0,20.0,15.0,25.0,10.0,5.0,1,7.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,2.0,30.0,Social Studies Education,9.0,4.0,1.0,1.0,New York City,"7,304",1.0,6.0,2.0,Secondary Education Teacher,2.0,7.0,8.0,4.0,9.0,10.0,10.0,1.0,1.0,7.0,10.0,3.0,10.0,9.0,7.0,8.0,8.0,5.0,6.0,20.0,20.0,35.0,5.0,10.0,10.0,35.0,10.0,25.0,10.0,10.0,10.0,35.0,20.0,10.0,20.0,10.0,5.0,9.0,10.0,7.0,9.0,7.0,1,8.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,0.0,1.0,6.0,1.0,2.0,15.0,20.0,25.0,20.0,10.0,10.0,15.0,10.0,20.0,20.0,20.0,15.0,27.78,11.11,11.11,22.22,11.11,16.67,7.0,9.0,8.0,7.0,9.0
4488,296,3.0,0,5,2,12,14,12,12.0,9,9,316.0,1,0.24,1,25.0,2.0,25.0,20.0,15.0,25.0,10.0,5.0,1,6.0,8.0,8.0,8.0,7.0,5.0,6.0,6.0,2.0,28.0,Education Policy,9.0,2.0,10.0,10.0,New York,"11,365",1.0,4.0,2.0,Education Policy Analyst,2.0,4.0,5.0,2.0,8.0,8.0,7.0,6.0,5.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,7.0,3.0,15.0,20.0,35.0,15.0,5.0,10.0,50.0,0.0,5.0,25.0,0.0,20.0,50.0,0.0,10.0,30.0,0.0,10.0,8.0,9.0,6.0,10.0,9.0,1,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,0.0,4.0,6.0,3.0,2.0,20.0,25.0,35.0,5.0,5.0,10.0,35.0,5.0,10.0,20.0,15.0,15.0,35.0,5.0,10.0,20.0,15.0,15.0,8.0,9.0,10.0,7.0,9.0
